"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"10.108.19.3 (UNSECURED CAESAR1)","Agencia Santa Elena","Lexmark MX511de","70157GHH1TT1V","2","CAB253292AD5","15743","20000","5","4","2026-08-17T15:40:12.000+00:00","32","CAB2535014F9","60000","59","200000","Advertencia"
"10.108.19.33 (UNSECURED CAESAR1)","Agencia Santa Elena","Lexmark MX511de","70157GHH1TT10","48","CAB253292A3F","11096","20000","2","2","2026-07-03T20:31:50.000+00:00","81","CAB252262EAB","60000","39","200000","Aceptar"
"10.108.19.50 (UNSECURED CAESAR1)","Agencia Santa Elena","Lexmark MX511de","70157GHH1TNMZ","76","CAB253292A8C","3105","20000","7","12","2026-08-31T18:24:52.000+00:00","75","CAB2609126C4","60000","31","200000","Aceptar"
"10.108.21.3 (UNSECURED CAESAR1)","Agencia La Union","Lexmark MX511de","70157GHH1TT78","100","CAB2616309E8","1108","20000","6","2","2026-09-14T20:46:07.000+00:00","61","CAB253500F7A","60000","83","200000","Aceptar"
"10.108.26.3 (UNSECURED CAESAR1)","Agencia Usulutan","Lexmark MX511de","70157GHH1TP19","75","CAB261144615","4114","20000","5","2","2026-09-01T18:03:46.000+00:00","65","CAB253501019","60000","53","200000","Aceptar"
"10.108.27.3 (UNSECURED CAESAR2)","Agencia Plaza Mundo Soyapango","Lexmark MX722adhe","7464318126GD0","4","CAB2532600F1","35271","55000","5","2","2026-07-18T15:23:55.000+00:00","40","CAB2535011EC","150000","27","225000","Advertencia"
"10.108.28.3 (SECURED CAESAR2)","Agencia Apopa","Lexmark MX722adhe","7464126024CZ6","65","CAB252802E70","12505","55000","6","15","2026-08-19T15:35:18.000+00:00","11","CAB242074593","150000","41","225000","Aceptar"
"10.108.29.3 (UNSECURED CAESAR1)","Agencia Las Palmas","Lexmark MX511de","70157GHH1T1T2","100","CAB261144B0A","695","20000","6","2","2026-09-17T22:43:26.000+00:00","4","CAB252262E96","60000","46","200000","Advertencia"
"10.108.37.3 (SECURED CAESAR2)","Agencia Chalatenango","Lexmark MX622adhe","701823840H7ZD","70","CAB25272167F","8225","25000","5","1","2026-08-12T19:35:44.000+00:00","73","CAB2502772F4","60000","63","200000","Aceptar"
"10.108.38.3 (SECURED CAESAR2)","Agencia Santa Rosa de Lima","Lexmark MX622adhe","701823840HD5M","44","CAB25272158B","12066","25000","6","1","2026-06-24T17:36:07.000+00:00","65","CAB250277303","60000","100","200000","Aceptar"
"10.108.38.17 (SECURED CAESAR2)","Agencia Santa Rosa de Lima","Lexmark MX522adhe","7017826102YR1","54","CAB250133355","8040","25000","6","1","2026-01-08T06:00:00.000+00:00","71","CAD213566FFB","60000","44","200000","Aceptar"
"10.108.40.3 (SECURED CAESAR2)","Agencia Ilobasco","Lexmark MX622adhe","701823840H84B","17","CAB2501333B3","20074","25000","5","3","2026-04-30T17:13:41.000+00:00","48","CAB242717DB7","60000","91","200000","Advertencia"
"10.108.41.3 (UNSECURED CAESAR1)","Agencia Sonsonate","Lexmark MX511de","70157GHH1TT6W","89","CAB2611446D9","1706","20000","6","2","2026-09-09T21:25:11.000+00:00","19","CAB242223E42","60000","72","200000","Aceptar"
"10.108.41.16 (UNSECURED CAESAR1)","Agencia Sonsonate Propemi","Lexmark MX511de","70157GHH1T1Y3","55","CAB253292C00","5529","20000","8","3","2026-07-27T22:39:45.000+00:00","100","CAB2535014EE","60000","13","200000","Aceptar"
"10.108.41.99 (UNSECURED CAESAR1)","Agencia Usulutan","Lexmark MX511de","70157GHH1T1XX","66","CAB253292AC3","3815","20000","8","3","2026-07-18T16:32:53.000+00:00","51","CAB251053C37","60000","33","200000","Aceptar"
"10.108.41.204 (SECURED CAESAR2)","Agencia Santa Ana Propemi","Lexmark MX522adhe","701723640WK2W","10","CAB250133365","17025","25000","8","7","2026-05-29T18:21:12.000+00:00","78","CAB25027759D","60000","11","200000","Aceptar"
"10.108.42.3 (SECURED CAESAR2)","Agencia San Miguel Centro ","Lexmark MX722adhe","7464126024DFR","49","CAB252802EC9","20434","55000","5","2","2026-08-08T15:10:03.000+00:00","17","CAB242814E8E","150000","88","225000","Aceptar"
"10.108.42.51 (MISSING_CREDENTIALS CAESAR1)","Agencia San Miguel Centro ","Lexmark MX511de","70157GHH1TNN7","65","CAB253292F11","3217","20000","9","4","2026-08-28T16:29:28.000+00:00","77","CAB25350153C","60000","40","200000","Aceptar"
"10.108.42.81 (UNSECURED CAESAR1)","Agencia San Miguel Centro ","Lexmark MX511de","70157GHH1TNN4","15","CAB253292CB9","7309","20000","10","15","2026-05-18T21:50:51.000+00:00","36","CAB2418678C9","60000","59","200000","Advertencia"
"10.108.42.88 (UNSECURED CAESAR1)","Agencia San Miguel Centro ","Lexmark MX511de","70157GHH1T1RV","67","CAB253292E83","8883","20000","3","2","2026-05-19T20:30:32.000+00:00","9","CAB242146350","60000","77","200000","Aceptar"
"10.108.43.3 (SECURED CAESAR2)","Agencia Zona Rosa","Lexmark MX622adhe","701823840HDT2","100","CAB252721562","1600","25000","6","5","2026-09-14T16:54:04.000+00:00","70","CAB2502775B3","60000","81","200000","Aceptar"
