"Dirección IP","Palabra clave","Modelo","Número de serie","Nivel de cartucho negro","Número de serie de cartucho negro","Páginas en carrito con el cartucho negro","Capacidad de cartucho negro","Cobertura de duración de cartucho negro","Último trabajo de cobertura de cartucho negro","Fecha de instalación de cartucho negro","Nivel de unidad de imágenes","Número de serie de la unidad de imagen","Capacidad de unidad de imágenes","Nivel de kit de mantenimiento","Capacidad de kit de mantenimiento","Estado de suministro"
"22.98.192.123 (UNSECURED CAESAR2)","Maxi Despensa Santa Ana","Lexmark MS823dn","40648180106K5","11","CAB2134310B1","91964","55000","2","1","2024-10-14T15:59:59.000+00:00","75","CAB250421193","150000","1","225000","Advertencia"
"22.98.192.146 (UNSECURED CAESAR2)","Maxi Despensa Santa Ana","Lexmark MS823dn","40648180106HW","28","CAB212494DAD","43565","55000","4","9","2025-08-29T06:00:00.000+00:00","30","CAD222989CB8","150000","16","225000","Aceptar"
"22.98.192.147 (UNSECURED CAESAR1)","Maxi Despensa Santa Ana","Lexmark MX511de","70157GHH1HV26","21","CAB2214053EC","9918","20000","6","7","2023-09-20T18:56:03.000+00:00","67","CAB2219300E9","60000","67","200000","Aceptar"
"22.98.192.148 (UNSECURED CAESAR1_LITE)","Maxi Despensa Santa Ana","Lexmark MS811","40637D6604WC1","85","CAB251411CBD","5463","45000","6","6","2026-04-09T15:30:10.000+00:00","41","CAB220403BCF","100000","38","200000","Aceptar"
"22.98.200.123 (UNSECURED CAESAR1_LITE)","Despensa Familiar Metropolis","Lexmark MS811","40637D6604W6L","81","CAB251411C9A","6025","45000","6","5","2026-02-05T01:10:45.000+00:00","56","CAB230333D18","100000","12","200000","Aceptar"
"22.98.200.147 (UNSECURED CAESAR1)","Despensa Familiar Metropolis","Lexmark MX511de","70157GHH1HR4N","15","CAB241631BDF","21946","20000","3","8","2025-03-17T22:13:50.000+00:00","59","CAB241853391","60000","65","200000","Aceptar"
"22.98.208.122 (UNSECURED CAESAR1_LITE)","Maxi Despensa Sonsonate","Lexmark MS811","40638D6602MD9","33","CAB251411CDB","38543","45000","3","2","2025-12-31T17:25:03.000+00:00","39","CAB2431750EA","100000","40","200000","Aceptar"
"22.98.208.123 (UNSECURED CAESAR2)","Maxi Despensa Sonsonate","Lexmark MS823dn","4064847013XCN","100","CAB252802E79","2945","55000","4","4","2026-07-29T18:01:13.000+00:00","63","CAD222989D59","150000","44","225000","Aceptar"
"22.98.208.146 (UNSECURED CAESAR1)","Maxi Despensa Sonsonate","Lexmark MX511de","70157GHH1KFNL","100","CAB2616309A8","627","20000","7","6","2026-08-28T20:08:14.000+00:00","23","CAB24172175B","60000","17","200000","Aceptar"
"22.98.208.148 (UNSECURED CAESAR2)","Maxi Despensa Sonsonate","Lexmark MS823dn","4064847013XC0","12","CAB182647795","62060","55000","4","2","2026-07-29T13:34:28.000+00:00","54","CAD1831862F1","150000","67","225000",""
